_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA,CAQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
12907,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000029,"",307.8,227.1,0,:,921,"",675,"",0,:,1.4
12908,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000010,"",232.7,174.1,0,:,204,"",156,"",0,:,1.3
12909,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000040,"",219.4,172.2,0,:,348,"",270,"",0,:,1.3
12910,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000019,"",265,212.6,0,:,207,"",165,"",0,:,1.3
12911,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000020,"",139.5,115.2,0,:,123,"",102,"",0,:,1.2
12912,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000013,"",96.3,93.4,0,:,27,"",27,"",0,:,1
12913,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000023,"",161.6,119.8,0,:,33,"",24,"",0,:,1.4
12914,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000048,"",231.4,189.2,0,:,321,"",264,"",0,:,1.2
12915,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000038,"",360.3,280.2,0,:,576,"",450,"",0,:,1.3
12916,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000011,"",205,167.5,0,:,174,"",141,"",0,:,1.2
12917,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000027,"",164.4,112.8,0,:,36,"",24,"",0,:,1.5
12918,M&B - Harmful Use,F10.1,"",Combined,2006/07,S12000030,"",113,100.6,0,:,93,"",84,"",0,:,1.1
12919,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000033,"",334.5,261.3,109.3,"",690,"",540,"",234,"",1.3
12920,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000034,"",147.4,124.3,65,"",348,"",294,"",156,"",1.2
12921,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000041,"",70.2,58.7,26.3,"",78,"",66,"",30,"",1.2
12922,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000035,"",327.9,227,93.7,"",303,"",207,"",87,"",1.5
12923,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000008,"",398.6,301.1,113.6,"",468,"",354,"",135,"",1.3
12924,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000021,"",455.4,325.6,126.5,"",597,"",429,"",165,"",1.4
12925,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000028,"",325.3,259,93.1,"",357,"",285,"",99,"",1.3
12926,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000026,"",230.7,176.6,82.4,"",255,"",195,"",90,"",1.3
12927,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000005,"",126,98.5,60.6,"",63,"",51,"",30,"",1.2
12928,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000006,"",151,131.9,56.4,"",225,"",198,"",84,"",1.1
12929,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000045,"",154.6,132.4,65.6,"",156,"",135,"",66,"",1.2
12930,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000039,"",523.2,366.4,159.5,"",441,"",315,"",135,"",1.4
12931,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000042,"",142.9,123.9,55.2,"",183,"",159,"",69,"",1.2
12932,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000036,"",344.6,246,96.3,"",1431,"",1023,"",408,"",1.4
12933,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000014,"",81.4,77.4,46.8,"",120,"",114,"",66,"",1.1
12934,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000047,"",153,126,57.4,"",537,"",441,"",201,"",1.2
12935,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000049,"",721.7,548.3,211.3,"",3621,"",2754,"",1095,"",1.3
12936,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000017,"",439.1,313.1,103.3,"",978,"",696,"",225,"",1.4
12937,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000018,"",365.5,295.1,88.1,"",291,"",234,"",69,"",1.2
12938,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000050,"",191.1,156,58.7,"",606,"",498,"",186,"",1.2
12939,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000029,"",246.6,181.5,68.2,"",732,"",540,"",201,"",1.4
12940,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000010,"",237.4,159.4,63.8,"",219,"",147,"",60,"",1.5
12941,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000040,"",227.3,179.4,91.9,"",357,"",282,"",138,"",1.3
12942,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000019,"",267.9,203.3,90.9,"",213,"",159,"",69,"",1.3
12943,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000020,"",186.7,145.2,60,"",168,"",129,"",54,"",1.3
12944,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000013,"",103,96,32.3,"",30,"",27,"",9,"",1.1
12945,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000023,"",143.2,122,54,"",30,"",27,"",12,"",1.1
12946,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000048,"",192.9,149.6,56.4,"",270,"",207,"",75,"",1.3
12947,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000038,"",332.2,263.8,118.3,"",543,"",432,"",195,"",1.3
12948,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000011,"",236.1,175.8,78,"",201,"",150,"",69,"",1.3
12949,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000027,"",131.2,108.9,50.8,"",30,"",24,"",12,"",1.3
12950,M&B - Harmful Use,F10.1,"",Combined,2007/08,S12000030,"",101,92.4,39.6,"",87,"",78,"",36,"",1.1
12951,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000033,"",366.5,275.5,119.4,"",753,"",573,"",258,"",1.3
12952,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000034,"",156.3,127.9,65.1,"",381,"",309,"",156,"",1.2
12953,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000041,"",64.2,52.1,27.3,"",75,"",60,"",30,"",1.3
12954,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000035,"",303.4,212.5,78.8,"",282,"",198,"",75,"",1.4
12955,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000008,"",433.1,302.1,100.1,"",510,"",357,"",117,"",1.4
12956,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000021,"",499,325.2,134.2,"",675,"",438,"",177,"",1.5
12957,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000028,"",360.1,267.6,93.9,"",402,"",297,"",105,"",1.4
12958,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000026,"",259.6,221,117.2,"",285,"",243,"",126,"",1.2
12959,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000005,"",69.3,66,32.6,"",36,"",33,"",15,"",1.1
12960,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000006,"",178.7,137.6,53.4,"",270,"",210,"",81,"",1.3
12961,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000045,"",140.8,117.9,59.2,"",141,"",120,"",60,"",1.2
12962,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000039,"",651.7,423.4,180.3,"",552,"",357,"",150,"",1.5
12963,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000042,"",120.8,101.4,41.8,"",159,"",135,"",57,"",1.2
12964,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000036,"",300.9,230.4,87.2,"",1239,"",951,"",366,"",1.3
12965,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000014,"",73.5,69.4,34.6,"",114,"",108,"",54,"",1.1
12966,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000047,"",178.6,142.4,60.9,"",633,"",504,"",216,"",1.3
12967,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000049,"",695.2,528.5,199.3,"",3546,"",2682,"",1029,"",1.3
12968,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000017,"",406.7,294.5,101.9,"",930,"",669,"",231,"",1.4
12969,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000018,"",337,275.8,86.8,"",267,"",219,"",69,"",1.2
12970,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000050,"",194.4,167.5,73.1,"",633,"",537,"",228,"",1.2
12971,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000029,"",244.2,189.4,81.4,"",732,"",564,"",243,"",1.3
12972,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000010,"",228.2,169.1,81.3,"",207,"",156,"",72,"",1.3
12973,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000040,"",265.9,206.7,91.1,"",432,"",336,"",147,"",1.3
12974,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000019,"",232.4,173.9,80.8,"",183,"",135,"",60,"",1.4
12975,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000020,"",182,140.4,52.5,"",165,"",129,"",48,"",1.3
12976,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000013,"",102.8,97.3,43.8,"",30,"",27,"",12,"",1.1
12977,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000023,"",122.9,94.6,34.3,"",27,"",21,"",9,"",1.3
12978,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000048,"",193.7,144.3,40.3,"",276,"",204,"",57,"",1.4
12979,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000038,"",342.5,282.6,117.1,"",564,"",465,"",192,"",1.2
12980,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000011,"",227,164.1,73.8,"",186,"",135,"",63,"",1.4
12981,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000027,"",142.5,133.4,64.2,"",30,"",30,"",15,"",1
12982,M&B - Harmful Use,F10.1,"",Combined,2008/09,S12000030,"",87.7,78.9,29.9,"",72,"",66,"",27,"",1.1
12983,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000033,"",413.8,307.9,133.3,"",870,"",657,"",300,"",1.3
12984,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000034,"",157.8,131.9,72.3,"",390,"",324,"",177,"",1.2
12985,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000041,"",74.5,66,36.9,"",81,"",72,"",39,"",1.1
12986,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000035,"",320.6,225.3,81.5,"",291,"",207,"",75,"",1.4
12987,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000008,"",440.7,326.5,113.7,"",528,"",393,"",135,"",1.3
12988,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000021,"",490.7,343.9,121.8,"",654,"",459,"",162,"",1.4
12989,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000028,"",426.8,297.5,107,"",468,"",327,"",117,"",1.4
12990,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000026,"",253.7,204.8,104.3,"",276,"",225,"",114,"",1.2
12991,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000005,"",117.4,104.3,56.1,"",60,"",51,"",27,"",1.2
12992,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000006,"",160.2,133.7,53.7,"",237,"",198,"",81,"",1.2
12993,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000045,"",161.6,141.8,72.4,"",165,"",144,"",75,"",1.1
12994,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000039,"",751.5,443.5,169.7,"",645,"",384,"",147,"",1.7
12995,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000042,"",152,127,59.6,"",201,"",168,"",81,"",1.2
12996,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000036,"",286.8,225.3,94,"",1167,"",921,"",387,"",1.3
12997,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000014,"",100,86.6,39.2,"",147,"",129,"",57,"",1.1
12998,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000047,"",184.9,144,59.1,"",651,"",507,"",204,"",1.3
12999,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000049,"",611.7,471.7,176.1,"",3159,"",2442,"",927,"",1.3
13000,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000017,"",310.5,237.8,83,"",705,"",540,"",186,"",1.3
13001,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000018,"",350.5,302,103.2,"",279,"",240,"",84,"",1.2
13002,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000050,"",200.9,175.2,75.1,"",648,"",564,"",243,"",1.1
13003,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000029,"",234.7,193.5,80,"",708,"",582,"",240,"",1.2
13004,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000010,"",184.2,149,67.5,"",168,"",138,"",63,"",1.2
13005,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000040,"",266.9,219.3,107.4,"",447,"",366,"",174,"",1.2
13006,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000019,"",218.1,178.4,81.6,"",177,"",144,"",66,"",1.2
13007,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000020,"",174.6,137.1,51.9,"",159,"",126,"",48,"",1.3
13008,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000013,"",145.6,135.4,67,"",42,"",39,"",18,"",1.1
13009,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000023,"",99.5,91.2,30.4,"",21,"",18,"",6,"",1.2
13010,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000048,"",177.5,133.4,50.1,"",258,"",195,"",72,"",1.3
13011,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000038,"",390.4,287.3,116.8,"",648,"",474,"",195,"",1.4
13012,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000011,"",206.3,168.7,78.5,"",174,"",138,"",63,"",1.3
13013,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000027,"",170.8,145.9,81.7,"",39,"",33,"",18,"",1.2
13014,M&B - Harmful Use,F10.1,"",Combined,2009/10,S12000030,"",106.6,97,38.6,"",90,"",81,"",33,"",1.1
13015,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000033,"",332.1,253.9,109.2,"",690,"",537,"",240,"",1.3
13016,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000034,"",138.7,116,56.9,"",345,"",288,"",138,"",1.2
13017,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000041,"",95.8,86.8,46.5,"",108,"",99,"",54,"",1.1
13018,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000035,"",271,203.1,85.8,"",246,"",183,"",75,"",1.3
13019,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000008,"",410.9,308,112.3,"",501,"",375,"",135,"",1.3
13020,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000021,"",493.8,335.3,139,"",657,"",450,"",186,"",1.5
13021,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000028,"",396.1,294.2,103.7,"",441,"",327,"",117,"",1.3
13022,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000026,"",194.3,173.7,82.9,"",222,"",198,"",93,"",1.1
13023,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000005,"",135.2,126.1,50.7,"",69,"",66,"",27,"",1
13024,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000006,"",174.7,139.4,58.7,"",255,"",207,"",90,"",1.2
13025,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000045,"",145.5,137.2,65.8,"",150,"",144,"",69,"",1
13026,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000039,"",705.4,393,154.2,"",600,"",336,"",135,"",1.8
13027,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000042,"",167.4,151.2,68.3,"",222,"",201,"",93,"",1.1
13028,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000036,"",249.9,200.2,79,"",1044,"",837,"",336,"",1.2
13029,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000014,"",112.3,95.4,39.5,"",171,"",144,"",57,"",1.2
13030,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000047,"",163.1,132.1,54.1,"",579,"",468,"",189,"",1.2
13031,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000049,"",559.3,442.2,169.8,"",2913,"",2295,"",888,"",1.3
13032,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000017,"",295.6,229.5,84.6,"",678,"",528,"",195,"",1.3
13033,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000018,"",338.9,274.3,97.7,"",273,"",219,"",75,"",1.2
13034,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000050,"",205.5,166.1,77.3,"",648,"",525,"",240,"",1.2
13035,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000029,"",206.7,167.2,73.7,"",633,"",510,"",222,"",1.2
13036,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000010,"",235.9,174.9,81.4,"",219,"",165,"",75,"",1.3
13037,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000040,"",282.7,229.5,111.8,"",471,"",384,"",186,"",1.2
13038,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000019,"",183.9,155.6,64.4,"",147,"",126,"",54,"",1.2
13039,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000020,"",129.6,104,41.1,"",120,"",96,"",39,"",1.3
13040,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000013,"",184.4,160.3,52.4,"",51,"",45,"",15,"",1.1
13041,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000023,"",140.8,119.3,51.4,"",30,"",27,"",12,"",1.1
13042,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000048,"",196,155.1,61.8,"",282,"",225,"",87,"",1.3
13043,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000038,"",366.9,278.2,107.6,"",615,"",465,"",177,"",1.3
13044,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000011,"",159.8,133.2,65.3,"",132,"",111,"",57,"",1.2
13045,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000027,"",195.2,138.4,62.8,"",45,"",30,"",12,"",1.5
13046,M&B - Harmful Use,F10.1,"",Combined,2010/11,S12000030,"",106.2,89.8,25.8,"",87,"",75,"",21,"",1.2
13047,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000033,"",320.1,250.9,107.3,"",669,"",531,"",237,"",1.3
13048,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000034,"",132.7,106.8,61.4,"",330,"",267,"",153,"",1.2
13049,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000041,"",88.2,71.4,36.2,"",102,"",81,"",42,"",1.3
13050,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000035,"",268.2,188.7,80.3,"",252,"",174,"",72,"",1.4
13051,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000008,"",218.7,164.6,52,"",270,"",201,"",63,"",1.3
13052,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000021,"",269.9,187.2,61.1,"",363,"",252,"",81,"",1.4
13053,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000028,"",233.1,183.2,54.3,"",264,"",207,"",63,"",1.3
13054,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000026,"",232.7,187.7,92.7,"",264,"",213,"",102,"",1.2
13055,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000005,"",86.5,71.2,44.4,"",45,"",36,"",24,"",1.3
13056,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000006,"",98.8,89,42.1,"",150,"",135,"",63,"",1.1
13057,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000045,"",100.8,92.3,47.9,"",102,"",93,"",45,"",1.1
13058,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000039,"",479.9,306.2,114.1,"",423,"",267,"",99,"",1.6
13059,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000042,"",156.6,129.9,51.7,"",216,"",180,"",75,"",1.2
13060,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000036,"",264.4,206.3,79.7,"",1116,"",876,"",342,"",1.3
13061,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000014,"",81.3,68.5,35.1,"",123,"",105,"",54,"",1.2
13062,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000047,"",145.4,120.7,50.4,"",522,"",435,"",180,"",1.2
13063,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000049,"",345.6,291.2,102.5,"",1869,"",1569,"",552,"",1.2
13064,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000017,"",237.4,188.6,58.5,"",549,"",438,"",135,"",1.3
13065,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000018,"",401.4,316.6,109.7,"",327,"",258,"",90,"",1.3
13066,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000050,"",206.9,176.6,77.9,"",657,"",561,"",243,"",1.2
13067,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000029,"",194.1,155.3,68.4,"",597,"",480,"",210,"",1.2
13068,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000010,"",205.8,152.2,69.7,"",201,"",147,"",66,"",1.4
13069,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000040,"",274.5,215.8,106.4,"",453,"",357,"",171,"",1.3
13070,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000019,"",187.7,154.8,66.7,"",153,"",126,"",54,"",1.2
13071,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000020,"",36.8,36.1,18.7,"",33,"",33,"",18,"",1
13072,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000013,"",271.6,236.4,79.5,"",78,"",66,"",21,"",1.2
13073,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000023,"",192.9,165.5,83.3,"",42,"",36,"",18,"",1.2
13074,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000048,"",178.6,142.3,51.8,"",261,"",210,"",78,"",1.2
13075,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000038,"",338.5,265.5,97.3,"",567,"",450,"",165,"",1.3
13076,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000011,"",173.8,145.3,64.1,"",141,"",120,"",51,"",1.2
13077,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000027,"",185.2,142,62,"",42,"",33,"",15,"",1.3
13078,M&B - Harmful Use,F10.1,"",Combined,2011/12,S12000030,"",81.1,71.4,27.7,"",66,"",57,"",21,"",1.2
13079,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000033,"",261.6,199.5,72.9,"",543,"",420,"",159,"",1.3
13080,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000034,"",119.6,99.6,48.4,"",294,"",243,"",117,"",1.2
13081,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000041,"",99.1,82.3,36.7,"",114,"",93,"",42,"",1.2
13082,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000035,"",199.4,149.8,67.3,"",180,"",132,"",57,"",1.4
13083,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000008,"",249.2,175.2,62.8,"",306,"",210,"",75,"",1.5
13084,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000021,"",264.7,204.5,81.4,"",360,"",276,"",111,"",1.3
13085,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000028,"",230.1,193.2,70.7,"",261,"",219,"",81,"",1.2
13086,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000026,"",219.6,173.8,73,"",249,"",195,"",84,"",1.3
13087,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000005,"",112.5,87.2,40.6,"",57,"",42,"",21,"",1.4
13088,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000006,"",59.6,51.8,24,"",87,"",75,"",36,"",1.2
13089,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000045,"",111.8,91.9,39.4,"",114,"",93,"",39,"",1.2
13090,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000039,"",341.9,268,109.1,"",297,"",231,"",93,"",1.3
13091,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000042,"",156.5,137.4,61,"",213,"",189,"",84,"",1.1
13092,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000036,"",261.9,205.1,82.5,"",1137,"",894,"",363,"",1.3
13093,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000014,"",113.4,94.9,38,"",171,"",144,"",57,"",1.2
13094,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000047,"",167.7,132.3,58.9,"",591,"",468,"",210,"",1.3
13095,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000049,"",283.5,235.9,80,"",1515,"",1257,"",435,"",1.2
13096,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000017,"",256.8,194.5,70.5,"",606,"",456,"",165,"",1.3
13097,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000018,"",258.2,224.8,99.6,"",207,"",180,"",78,"",1.2
13098,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000050,"",214.5,174.9,77.1,"",690,"",564,"",246,"",1.2
13099,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000029,"",194.2,161.8,65.2,"",603,"",501,"",201,"",1.2
13100,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000010,"",186,162.6,74.6,"",183,"",159,"",72,"",1.2
13101,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000040,"",238.6,194.7,87.8,"",384,"",318,"",144,"",1.2
13102,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000019,"",210.1,172.1,82,"",171,"",141,"",66,"",1.2
13103,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000020,"",35.7,30.4,11,"",33,"",27,"",9,"",1.2
13104,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000013,"",197.6,178.5,84.7,"",60,"",54,"",24,"",1.1
13105,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000023,"",179.8,142.6,65.1,"",42,"",33,"",15,"",1.3
13106,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000048,"",146.4,108.1,35.2,"",213,"",159,"",51,"",1.3
13107,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000038,"",373.6,258.3,97.7,"",636,"",435,"",165,"",1.5
13108,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000011,"",146.5,116.4,43.8,"",123,"",99,"",36,"",1.2
13109,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000027,"",79.5,75.8,28.9,"",18,"",18,"",6,"",1
13110,M&B - Harmful Use,F10.1,"",Combined,2012/13,S12000030,"",86.3,78,30.8,"",75,"",66,"",27,"",1.1
13111,M&B - Harmful Use,F10.1,"",Combined,2013/14,S12000033,"",259.2,202.5,86.6,"",549,"",432,"",186,"",1.3
13112,M&B - Harmful Use,F10.1,"",Combined,2013/14,S12000034,"",108.8,94.5,49.3,"",279,"",243,"",126,"",1.1
13113,M&B - Harmful Use,F10.1,"",Combined,2013/14,S12000041,"",78.4,72.9,40.1,"",90,"",84,"",45,"",1.1
13114,M&B - Harmful Use,F10.1,"",Combined,2013/14,S12000035,"",160.3,130.1,61,"",147,"",117,"",54,"",1.3
